项目名称,市,区县,项目状态,创建时间
舟山大厦,杭州市,拱墅区,合作对接,2026/5/20
建投大厦,杭州市,西湖区,合作对接,2026/5/20
区机关事务管理局、卫生系统,宁波市,市本级,合作对接,2026/5/20
宁波海关大楼南区+17个隶属单位,宁波市,海曙区,合作对接,2026/5/20
海曙区人民政府大院及附属3栋楼,宁波市,海曙区,合作对接,2026/5/20
江北区政府大楼,宁波市,江北区,合作对接,2026/5/20
江北区第九人民医院,宁波市,江北区,合作对接,2026/5/20
已做全域托管，并作为优秀案例在全省分享,宁波市,象山县,合作对接,2026/5/20
温州市机关事务局,温州市,市本级,合作对接,2026/5/20
机关事务局直属幼儿园,温州市,鹿城区,合作对接,2026/5/20
洞头区公共机构节能改造,温州市,洞头区,合作对接,2026/5/20
乐清市公共机构节能改造,温州市,乐清市,合作对接,2026/5/20
海盐市公共机构节能改造（29个公共机构）,嘉兴市,海盐县,意向签订,2026/5/20
湖州中心医院,湖州市,市本级,合作对接,2026/5/20
湖州市中医院,湖州市,吴兴区,合作对接,2026/5/20
湖州人民医院,湖州市,吴兴区,合作对接,2026/5/20
机关行政管理服务中心4栋楼,湖州市,吴兴区,合作对接,2026/5/20
湖州市职业技术学院改造工程,湖州市,吴兴区,合作对接,2026/5/20
安吉县公共机构,湖州市,安吉县,合作对接,2026/5/20
绍兴理工学院,绍兴市,越城区,合作对接,2026/5/20
绍兴二院柯桥院区,绍兴市,柯桥区,合作对接,2026/5/20
浙江医药股份有限公司园区办公楼,绍兴市,上虞区,合作对接,2026/5/20
金华公共机构节能,金华市,市本级,合作对接,2026/5/20
兰溪政府大院,金华市,兰溪市,合作对接,2026/5/20
梅湖体育中心（含体育馆、体育场、游泳馆及附属设施）,金华市,义乌市,合作对接,2026/5/20
衢州市公共机构节能,衢州市,市本级,合作对接,2026/5/20
开化政府5栋大楼,衢州市,开化县,合作对接,2026/5/20
龙游县公共机构节能,衢州市,龙游县,合作对接,2026/5/20
定海区机关办公建筑,舟山市,定海区,合作对接,2026/5/20
机关办公建筑,舟山市,岱山县,合作对接,2026/5/20
嵊泗县机关建筑,舟山市,嵊泗县,合作对接,2026/5/20
台州公共机构节能改造,台州市,市本级,合作对接,2026/5/20
椒江区人民政府大院,台州市,椒江区,合作对接,2026/5/20
台州市新闻传媒中心,台州市,椒江区,合作对接,2026/5/20
台州市第一人民医院,台州市,黄岩区,合作对接,2026/5/20
路桥明珠外国语学校,台州市,路桥区,意向签订,2026/5/20
临海公安局办公大楼,台州市,临海市,合作对接,2026/5/20
丽水公共机构节能改造,丽水市,市本级,合作对接,2026/5/20
丽水市机关行政楼节能改造,丽水市,市本级,合作对接,2026/5/20
莲都产投低碳园区,丽水市,莲都区,合作对接,2026/5/20
丽水市机关行政楼,丽水市,莲都区,合作对接,2026/5/20
莲都区人民医院节能改造,丽水市,莲都区,合作对接,2026/5/20
青田县经济开发区低碳园区建设项目,丽水市,青田县,合作对接,2026/5/20
缙云县工业园区屋顶光伏及全域降碳项目,丽水市,缙云县,合作对接,2026/5/20
松阳县经济开发区低碳园区建设项目,丽水市,松阳县,合作对接,2026/5/20
云和县经济开发区零碳园区建设项目,丽水市,云和县,合作对接,2026/5/20
景宁县经济开发区低碳园区建设项目,丽水市,景宁畲族自治县,合作对接,2026/5/20
